Date (ISO Year Week),Country/Territory,Cost
"May 30, 2022 to Jun 5, 2022 (Week 22)",Norway,4.83
"May 30, 2022 to Jun 5, 2022 (Week 22)",Italy,94.08
"May 30, 2022 to Jun 5, 2022 (Week 22)",Germany,118.85
"May 30, 2022 to Jun 5, 2022 (Week 22)",Finland,0.42
"May 30, 2022 to Jun 5, 2022 (Week 22)",Japan,39.13
"May 30, 2022 to Jun 5, 2022 (Week 22)",France,65.36
"May 30, 2022 to Jun 5, 2022 (Week 22)",Poland,27.79
"May 30, 2022 to Jun 5, 2022 (Week 22)",Indonesia,315.06
"May 30, 2022 to Jun 5, 2022 (Week 22)",Canada,1032.17
"May 30, 2022 to Jun 5, 2022 (Week 22)",Philippines,323.92
"May 30, 2022 to Jun 5, 2022 (Week 22)",Vietnam,49.03
"May 30, 2022 to Jun 5, 2022 (Week 22)",South Africa,252.31
"May 30, 2022 to Jun 5, 2022 (Week 22)",New Zealand,103.6
"May 3, 2021 to May 9, 2021 (Week 18)",Denmark,0.15
"May 3, 2021 to May 9, 2021 (Week 18)",Germany,24.11
"May 3, 2021 to May 9, 2021 (Week 18)",Portugal,2.53
"May 3, 2021 to May 9, 2021 (Week 18)",Ireland,20.11
"May 3, 2021 to May 9, 2021 (Week 18)",Isle of Man,2
"May 3, 2021 to May 9, 2021 (Week 18)",Sweden,8.98
"May 3, 2021 to May 9, 2021 (Week 18)",Canada,8.92
"May 3, 2021 to May 9, 2021 (Week 18)",United Kingdom,1786.14
"May 3, 2021 to May 9, 2021 (Week 18)",Netherlands,7.51
"May 3, 2021 to May 9, 2021 (Week 18)",Israel,9.3
"May 3, 2021 to May 9, 2021 (Week 18)",Belgium,0.63
"May 3, 2021 to May 9, 2021 (Week 18)",Norway,0.34
"May 3, 2021 to May 9, 2021 (Week 18)",Italy,14.21
"May 3, 2021 to May 9, 2021 (Week 18)",Andorra,0.11
"May 3, 2021 to May 9, 2021 (Week 18)",France,4.37
"May 3, 2021 to May 9, 2021 (Week 18)",United States,7550.768867
"May 3, 2021 to May 9, 2021 (Week 18)",Spain,3.65
"May 29, 2023 to Jun 4, 2023 (Week 22)",Spain,11.77
"May 29, 2023 to Jun 4, 2023 (Week 22)",Austria,36.961169
"May 29, 2023 to Jun 4, 2023 (Week 22)",South Africa,0.98
"May 29, 2023 to Jun 4, 2023 (Week 22)",Poland,3.9
"May 29, 2023 to Jun 4, 2023 (Week 22)",Switzerland,230.075
"May 29, 2023 to Jun 4, 2023 (Week 22)",Italy,510.7
"May 29, 2023 to Jun 4, 2023 (Week 22)",United Kingdom,869.781556
"May 29, 2023 to Jun 4, 2023 (Week 22)",Germany,122.75276
"May 29, 2023 to Jun 4, 2023 (Week 22)",United States,36344.46466
"May 29, 2023 to Jun 4, 2023 (Week 22)",Canada,4480.732346
"May 29, 2023 to Jun 4, 2023 (Week 22)",France,145.24
"May 27, 2024 to Jun 2, 2024 (Week 22)",Spain,12.24
"May 27, 2024 to Jun 2, 2024 (Week 22)",United Kingdom,2515.606278
"May 27, 2024 to Jun 2, 2024 (Week 22)",Denmark,4.39
"May 27, 2024 to Jun 2, 2024 (Week 22)",Netherlands,16.78
"May 27, 2024 to Jun 2, 2024 (Week 22)",Israel,26.79
"May 27, 2024 to Jun 2, 2024 (Week 22)",Belgium,10.56
"May 27, 2024 to Jun 2, 2024 (Week 22)",Sweden,12
"May 27, 2024 to Jun 2, 2024 (Week 22)",Switzerland,43.63
"May 27, 2024 to Jun 2, 2024 (Week 22)",Italy,179.85
"May 27, 2024 to Jun 2, 2024 (Week 22)",Norway,10.58
"May 27, 2024 to Jun 2, 2024 (Week 22)",Germany,503.645712
"May 27, 2024 to Jun 2, 2024 (Week 22)",Canada,3087.649787
"May 27, 2024 to Jun 2, 2024 (Week 22)",Austria,10.89
"May 27, 2024 to Jun 2, 2024 (Week 22)",United States,28358.34722
"May 27, 2024 to Jun 2, 2024 (Week 22)",France,263.76
"May 26, 2025 to Jun 1, 2025 (Week 22)",Switzerland,2.74
"May 26, 2025 to Jun 1, 2025 (Week 22)",Italy,164.030578
"May 26, 2025 to Jun 1, 2025 (Week 22)",Austria,7.63
"May 26, 2025 to Jun 1, 2025 (Week 22)",Finland,11.197717
"May 26, 2025 to Jun 1, 2025 (Week 22)",Sweden,67.63
"May 26, 2025 to Jun 1, 2025 (Week 22)",United Kingdom,1376.989278
"May 26, 2025 to Jun 1, 2025 (Week 22)",United States,32060.79864
"May 26, 2025 to Jun 1, 2025 (Week 22)",Belgium,12.71
"May 26, 2025 to Jun 1, 2025 (Week 22)",Ireland,16.93706
"May 26, 2025 to Jun 1, 2025 (Week 22)",Spain,13.644321
"May 26, 2025 to Jun 1, 2025 (Week 22)",Portugal,1.744629
"May 26, 2025 to Jun 1, 2025 (Week 22)",Israel,23
"May 26, 2025 to Jun 1, 2025 (Week 22)",Germany,184.374086
"May 26, 2025 to Jun 1, 2025 (Week 22)",Denmark,3.66
"May 26, 2025 to Jun 1, 2025 (Week 22)",Norway,0.46
"May 26, 2025 to Jun 1, 2025 (Week 22)",France,182.810817
"May 26, 2025 to Jun 1, 2025 (Week 22)",Netherlands,47.05
"May 26, 2025 to Jun 1, 2025 (Week 22)",Canada,3120.97542
"May 26, 2025 to Jun 1, 2025 (Week 22)",Andorra,0.01
"May 24, 2021 to May 30, 2021 (Week 21)",Ireland,4.83
"May 24, 2021 to May 30, 2021 (Week 21)",United Kingdom,1224.27
"May 24, 2021 to May 30, 2021 (Week 21)",Finland,2.47
"May 24, 2021 to May 30, 2021 (Week 21)",France,6.16
"May 24, 2021 to May 30, 2021 (Week 21)",Canada,6.25
"May 24, 2021 to May 30, 2021 (Week 21)",Italy,8.19
"May 24, 2021 to May 30, 2021 (Week 21)",Spain,7.13
"May 24, 2021 to May 30, 2021 (Week 21)",Israel,1.6
"May 24, 2021 to May 30, 2021 (Week 21)",Germany,14.05
"May 24, 2021 to May 30, 2021 (Week 21)",Norway,5.49
"May 24, 2021 to May 30, 2021 (Week 21)",Isle of Man,4.43
"May 24, 2021 to May 30, 2021 (Week 21)",Sweden,7.54
"May 24, 2021 to May 30, 2021 (Week 21)",Belgium,9.14
"May 24, 2021 to May 30, 2021 (Week 21)",Portugal,6.29
"May 24, 2021 to May 30, 2021 (Week 21)",Denmark,0.45
"May 24, 2021 to May 30, 2021 (Week 21)",Netherlands,11.97
"May 24, 2021 to May 30, 2021 (Week 21)",United States,4616.041737
"May 23, 2022 to May 29, 2022 (Week 21)",Vietnam,4.3
"May 23, 2022 to May 29, 2022 (Week 21)",Indonesia,27.49
"May 23, 2022 to May 29, 2022 (Week 21)",Philippines,28.92
"May 23, 2022 to May 29, 2022 (Week 21)",Canada,1742.36
"May 23, 2022 to May 29, 2022 (Week 21)",United States,14496.49596
"May 23, 2022 to May 29, 2022 (Week 21)",Japan,9.29
"May 23, 2022 to May 29, 2022 (Week 21)",Norway,157.23
"May 23, 2022 to May 29, 2022 (Week 21)",France,487.56
"May 23, 2022 to May 29, 2022 (Week 21)",Germany,846.42
"May 23, 2022 to May 29, 2022 (Week 21)",Australia,90.59
"May 23, 2022 to May 29, 2022 (Week 21)",Italy,394.1
"May 23, 2022 to May 29, 2022 (Week 21)",Poland,227.02
"May 23, 2022 to May 29, 2022 (Week 21)",Ireland,284.55
"May 23, 2022 to May 29, 2022 (Week 21)",South Africa,1536.74
"May 23, 2022 to May 29, 2022 (Week 21)",Singapore,7.91
"May 23, 2022 to May 29, 2022 (Week 21)",Switzerland,145.7
"May 23, 2022 to May 29, 2022 (Week 21)",Sweden,278.52
"May 23, 2022 to May 29, 2022 (Week 21)",United Kingdom,4558.78
"May 23, 2022 to May 29, 2022 (Week 21)",Finland,51.01
"May 23, 2022 to May 29, 2022 (Week 21)",Malaysia,19.01
"May 23, 2022 to May 29, 2022 (Week 21)",Isle of Man,4.75
"May 23, 2022 to May 29, 2022 (Week 21)",Thailand,9.62
"May 23, 2022 to May 29, 2022 (Week 21)",Spain,391.91
"May 23, 2022 to May 29, 2022 (Week 21)",Türkiye,255.11
"May 22, 2023 to May 28, 2023 (Week 21)",Germany,301.674891
"May 22, 2023 to May 28, 2023 (Week 21)",Poland,1.29
"May 22, 2023 to May 28, 2023 (Week 21)",Belgium,0.96
"May 22, 2023 to May 28, 2023 (Week 21)",United States,28755.14558
"May 22, 2023 to May 28, 2023 (Week 21)",France,126.89
"May 22, 2023 to May 28, 2023 (Week 21)",Spain,14.37
"May 22, 2023 to May 28, 2023 (Week 21)",Italy,390.521534
"May 22, 2023 to May 28, 2023 (Week 21)",Sweden,5.04
"May 22, 2023 to May 28, 2023 (Week 21)",Switzerland,52.804531
"May 22, 2023 to May 28, 2023 (Week 21)",Canada,3376.308962
"May 22, 2023 to May 28, 2023 (Week 21)",Luxembourg,0.72
"May 22, 2023 to May 28, 2023 (Week 21)",United Kingdom,743.279755
"May 22, 2023 to May 28, 2023 (Week 21)",Austria,41.86
"May 20, 2024 to May 26, 2024 (Week 21)",Spain,10.54
"May 20, 2024 to May 26, 2024 (Week 21)",Germany,734.910742
"May 20, 2024 to May 26, 2024 (Week 21)",France,330.64
"May 20, 2024 to May 26, 2024 (Week 21)",Switzerland,64.35
"May 20, 2024 to May 26, 2024 (Week 21)",United Kingdom,3501.611197
"May 20, 2024 to May 26, 2024 (Week 21)",Austria,70.17
"May 20, 2024 to May 26, 2024 (Week 21)",Denmark,9.72
"May 20, 2024 to May 26, 2024 (Week 21)",Sweden,26.25
"May 20, 2024 to May 26, 2024 (Week 21)",Italy,194.54
"May 20, 2024 to May 26, 2024 (Week 21)",Netherlands,17.88
"May 20, 2024 to May 26, 2024 (Week 21)",Finland,14.91
"May 20, 2024 to May 26, 2024 (Week 21)",Israel,33.31
"May 20, 2024 to May 26, 2024 (Week 21)",United States,36507.67969
"May 20, 2024 to May 26, 2024 (Week 21)",Ireland,8.2
"May 20, 2024 to May 26, 2024 (Week 21)",Norway,0.01
"May 20, 2024 to May 26, 2024 (Week 21)",Canada,3528.567962
"May 2, 2022 to May 8, 2022 (Week 18)",Vietnam,2.58
"May 2, 2022 to May 8, 2022 (Week 18)",New Zealand,1.83
"May 2, 2022 to May 8, 2022 (Week 18)",Thailand,0.49
"May 2, 2022 to May 8, 2022 (Week 18)",Germany,1150.24
"May 2, 2022 to May 8, 2022 (Week 18)",Finland,118.24
"May 2, 2022 to May 8, 2022 (Week 18)",Norway,287.12
"May 2, 2022 to May 8, 2022 (Week 18)",Japan,0.69
"May 2, 2022 to May 8, 2022 (Week 18)",Poland,142.38
"May 2, 2022 to May 8, 2022 (Week 18)",Philippines,10.36
"May 2, 2022 to May 8, 2022 (Week 18)",Türkiye,269.23
"May 2, 2022 to May 8, 2022 (Week 18)",Malaysia,3.87
"May 2, 2022 to May 8, 2022 (Week 18)",Ireland,270.79
"May 2, 2022 to May 8, 2022 (Week 18)",Italy,648.02
"May 2, 2022 to May 8, 2022 (Week 18)",United States,10792.76
"May 2, 2022 to May 8, 2022 (Week 18)",Sweden,414.46
"May 2, 2022 to May 8, 2022 (Week 18)",France,600.8
"May 2, 2022 to May 8, 2022 (Week 18)",Australia,90.25
"May 2, 2022 to May 8, 2022 (Week 18)",Indonesia,0.13
"May 2, 2022 to May 8, 2022 (Week 18)",United Kingdom,4266.82
"May 2, 2022 to May 8, 2022 (Week 18)",Spain,561.93
"May 2, 2022 to May 8, 2022 (Week 18)",Canada,1544.197143
"May 2, 2022 to May 8, 2022 (Week 18)",Singapore,7.77
"May 2, 2022 to May 8, 2022 (Week 18)",Switzerland,270.24
"May 2, 2022 to May 8, 2022 (Week 18)",South Africa,1528.87
"May 19, 2025 to May 25, 2025 (Week 21)",Switzerland,34.2
"May 19, 2025 to May 25, 2025 (Week 21)",Spain,85.585273
"May 19, 2025 to May 25, 2025 (Week 21)",Canada,3100.58448
"May 19, 2025 to May 25, 2025 (Week 21)",Netherlands,210.03
"May 19, 2025 to May 25, 2025 (Week 21)",France,94.615729
"May 19, 2025 to May 25, 2025 (Week 21)",Norway,23.503821
"May 19, 2025 to May 25, 2025 (Week 21)",Denmark,27.41
"May 19, 2025 to May 25, 2025 (Week 21)",Portugal,12.61
"May 19, 2025 to May 25, 2025 (Week 21)",Israel,233.034022
"May 19, 2025 to May 25, 2025 (Week 21)",Germany,186.416774
"May 19, 2025 to May 25, 2025 (Week 21)",Austria,38.301546
"May 19, 2025 to May 25, 2025 (Week 21)",Finland,16.77
"May 19, 2025 to May 25, 2025 (Week 21)",Sweden,44.97
"May 19, 2025 to May 25, 2025 (Week 21)",United Kingdom,1311.768487
"May 19, 2025 to May 25, 2025 (Week 21)",Belgium,38.995636
"May 19, 2025 to May 25, 2025 (Week 21)",Ireland,34.44
"May 19, 2025 to May 25, 2025 (Week 21)",United States,29261.84945
"May 19, 2025 to May 25, 2025 (Week 21)",Italy,65.593896
"May 17, 2021 to May 23, 2021 (Week 20)",Netherlands,6.12
"May 17, 2021 to May 23, 2021 (Week 20)",United Kingdom,1685.09
"May 17, 2021 to May 23, 2021 (Week 20)",Portugal,0.36
"May 17, 2021 to May 23, 2021 (Week 20)",Belgium,1.06
"May 17, 2021 to May 23, 2021 (Week 20)",Germany,7.29
"May 17, 2021 to May 23, 2021 (Week 20)",Israel,14.27
"May 17, 2021 to May 23, 2021 (Week 20)",Sweden,3.72
"May 17, 2021 to May 23, 2021 (Week 20)",Isle of Man,3.15
"May 17, 2021 to May 23, 2021 (Week 20)",Spain,0.72
"May 17, 2021 to May 23, 2021 (Week 20)",Italy,2.77
"May 17, 2021 to May 23, 2021 (Week 20)",Switzerland,5.89
"May 17, 2021 to May 23, 2021 (Week 20)",Canada,1.03
"May 17, 2021 to May 23, 2021 (Week 20)",France,10.02
"May 17, 2021 to May 23, 2021 (Week 20)",Ireland,4.81
"May 17, 2021 to May 23, 2021 (Week 20)",United States,5740.586973
"May 16, 2022 to May 22, 2022 (Week 20)",Finland,58.62
"May 16, 2022 to May 22, 2022 (Week 20)",Australia,49.67
"May 16, 2022 to May 22, 2022 (Week 20)",New Zealand,4.62
"May 16, 2022 to May 22, 2022 (Week 20)",South Africa,1495.18
"May 16, 2022 to May 22, 2022 (Week 20)",Singapore,30.7
"May 16, 2022 to May 22, 2022 (Week 20)",Thailand,1.41
"May 16, 2022 to May 22, 2022 (Week 20)",United Kingdom,3792.42
"May 16, 2022 to May 22, 2022 (Week 20)",Isle of Man,30.33
"May 16, 2022 to May 22, 2022 (Week 20)",Switzerland,191.6
"May 16, 2022 to May 22, 2022 (Week 20)",Ireland,194.8
"May 16, 2022 to May 22, 2022 (Week 20)",Malaysia,36.92
"May 16, 2022 to May 22, 2022 (Week 20)",Italy,486.62
"May 16, 2022 to May 22, 2022 (Week 20)",France,433.81
"May 16, 2022 to May 22, 2022 (Week 20)",Germany,797.84
"May 16, 2022 to May 22, 2022 (Week 20)",Poland,218.83
"May 16, 2022 to May 22, 2022 (Week 20)",Vietnam,9.76
"May 16, 2022 to May 22, 2022 (Week 20)",Sweden,345.26
"May 16, 2022 to May 22, 2022 (Week 20)",Türkiye,203.86
"May 16, 2022 to May 22, 2022 (Week 20)",Norway,117.72
"May 16, 2022 to May 22, 2022 (Week 20)",United States,12701.09759
"May 16, 2022 to May 22, 2022 (Week 20)",Philippines,14.1
"May 16, 2022 to May 22, 2022 (Week 20)",Canada,1279.1
"May 16, 2022 to May 22, 2022 (Week 20)",Indonesia,13.87
"May 16, 2022 to May 22, 2022 (Week 20)",Japan,6.37
"May 16, 2022 to May 22, 2022 (Week 20)",Spain,423.11
"May 15, 2023 to May 21, 2023 (Week 20)",United Kingdom,3625.180737
"May 15, 2023 to May 21, 2023 (Week 20)",United States,34112.79712
"May 15, 2023 to May 21, 2023 (Week 20)",Poland,5.4
"May 15, 2023 to May 21, 2023 (Week 20)",Belgium,32.35
"May 15, 2023 to May 21, 2023 (Week 20)",Ireland,0.85
"May 15, 2023 to May 21, 2023 (Week 20)",France,482.391657
"May 15, 2023 to May 21, 2023 (Week 20)",Austria,240.233473
"May 15, 2023 to May 21, 2023 (Week 20)",Germany,745.401072
"May 15, 2023 to May 21, 2023 (Week 20)",Spain,19.66
"May 15, 2023 to May 21, 2023 (Week 20)",Türkiye,1.27
"May 15, 2023 to May 21, 2023 (Week 20)",Luxembourg,3.54
"May 15, 2023 to May 21, 2023 (Week 20)",Sweden,5.75
"May 15, 2023 to May 21, 2023 (Week 20)",Italy,1660.998782
"May 15, 2023 to May 21, 2023 (Week 20)",Canada,4126.717079
"May 15, 2023 to May 21, 2023 (Week 20)",Switzerland,367.02
"May 13, 2024 to May 19, 2024 (Week 20)",France,439.49
"May 13, 2024 to May 19, 2024 (Week 20)",Ireland,19.62
"May 13, 2024 to May 19, 2024 (Week 20)",Netherlands,15
"May 13, 2024 to May 19, 2024 (Week 20)",United States,42153.24572
"May 13, 2024 to May 19, 2024 (Week 20)",Norway,6.67
"May 13, 2024 to May 19, 2024 (Week 20)",Portugal,4.14
"May 13, 2024 to May 19, 2024 (Week 20)",Israel,17.17
"May 13, 2024 to May 19, 2024 (Week 20)",Italy,232.15
"May 13, 2024 to May 19, 2024 (Week 20)",Spain,11.27
"May 13, 2024 to May 19, 2024 (Week 20)",Germany,387.347684
"May 13, 2024 to May 19, 2024 (Week 20)",Austria,39.2
"May 13, 2024 to May 19, 2024 (Week 20)",Denmark,6.69
"May 13, 2024 to May 19, 2024 (Week 20)",Sweden,28.5
"May 13, 2024 to May 19, 2024 (Week 20)",United Kingdom,2011.134186
"May 13, 2024 to May 19, 2024 (Week 20)",Canada,4762.346444
"May 13, 2024 to May 19, 2024 (Week 20)",Switzerland,96.27
"May 12, 2025 to May 18, 2025 (Week 20)",Portugal,37.150079
"May 12, 2025 to May 18, 2025 (Week 20)",France,124.044836
"May 12, 2025 to May 18, 2025 (Week 20)",Israel,208.599301
"May 12, 2025 to May 18, 2025 (Week 20)",Norway,18.65
"May 12, 2025 to May 18, 2025 (Week 20)",Denmark,61.882032
"May 12, 2025 to May 18, 2025 (Week 20)",Italy,148.760426
"May 12, 2025 to May 18, 2025 (Week 20)",Belgium,90.7434
"May 12, 2025 to May 18, 2025 (Week 20)",Ireland,22.98
"May 12, 2025 to May 18, 2025 (Week 20)",Finland,18.16
"May 12, 2025 to May 18, 2025 (Week 20)",Netherlands,96.666505
"May 12, 2025 to May 18, 2025 (Week 20)",United Kingdom,1546.055184
"May 12, 2025 to May 18, 2025 (Week 20)",Sweden,34.285731
"May 12, 2025 to May 18, 2025 (Week 20)",Canada,2478.114184
"May 12, 2025 to May 18, 2025 (Week 20)",Germany,153.131825
"May 12, 2025 to May 18, 2025 (Week 20)",United States,24993.78167
"May 12, 2025 to May 18, 2025 (Week 20)",Monaco,13.49
"May 12, 2025 to May 18, 2025 (Week 20)",Austria,3.4032
"May 12, 2025 to May 18, 2025 (Week 20)",Switzerland,54.94
"May 12, 2025 to May 18, 2025 (Week 20)",Spain,130.494242
"May 10, 2021 to May 16, 2021 (Week 19)",Spain,18.34
"May 10, 2021 to May 16, 2021 (Week 19)",Portugal,5.47
"May 10, 2021 to May 16, 2021 (Week 19)",France,15.2
"May 10, 2021 to May 16, 2021 (Week 19)",Canada,10.48
"May 10, 2021 to May 16, 2021 (Week 19)",Israel,5.54
"May 10, 2021 to May 16, 2021 (Week 19)",Isle of Man,2.17
"May 10, 2021 to May 16, 2021 (Week 19)",Norway,3.71
"May 10, 2021 to May 16, 2021 (Week 19)",Italy,1.42
"May 10, 2021 to May 16, 2021 (Week 19)",United Kingdom,1784.38
"May 10, 2021 to May 16, 2021 (Week 19)",Netherlands,0.6
"May 10, 2021 to May 16, 2021 (Week 19)",Sweden,1.01
"May 10, 2021 to May 16, 2021 (Week 19)",Germany,48.39
"May 10, 2021 to May 16, 2021 (Week 19)",United States,7303.093683
"May 1, 2023 to May 7, 2023 (Week 18)",Ireland,1.99
"May 1, 2023 to May 7, 2023 (Week 18)",United Kingdom,2900.226039
"May 1, 2023 to May 7, 2023 (Week 18)",Belgium,6.1
"May 1, 2023 to May 7, 2023 (Week 18)",Luxembourg,1.56
"May 1, 2023 to May 7, 2023 (Week 18)",Germany,563.82
"May 1, 2023 to May 7, 2023 (Week 18)",France,462.606285
"May 1, 2023 to May 7, 2023 (Week 18)",Sweden,1.43
"May 1, 2023 to May 7, 2023 (Week 18)",Austria,97.179177
"May 1, 2023 to May 7, 2023 (Week 18)",Italy,457.19
"May 1, 2023 to May 7, 2023 (Week 18)",United States,30741.65729
"May 1, 2023 to May 7, 2023 (Week 18)",Switzerland,185.781477
"May 1, 2023 to May 7, 2023 (Week 18)",Canada,3626.775087
"Mar 8, 2021 to Mar 14, 2021 (Week 10)",Portugal,1.94
"Mar 8, 2021 to Mar 14, 2021 (Week 10)",Israel,6.46
"Mar 8, 2021 to Mar 14, 2021 (Week 10)",United Kingdom,1996.98
"Mar 8, 2021 to Mar 14, 2021 (Week 10)",United States,5765.984063
"Mar 8, 2021 to Mar 14, 2021 (Week 10)",France,8.86
"Mar 8, 2021 to Mar 14, 2021 (Week 10)",Italy,0.85
"Mar 8, 2021 to Mar 14, 2021 (Week 10)",Netherlands,8.47
"Mar 8, 2021 to Mar 14, 2021 (Week 10)",Sweden,1.5
"Mar 8, 2021 to Mar 14, 2021 (Week 10)",Isle of Man,5.41
"Mar 8, 2021 to Mar 14, 2021 (Week 10)",Canada,15.51
"Mar 8, 2021 to Mar 14, 2021 (Week 10)",Spain,6.55
"Mar 8, 2021 to Mar 14, 2021 (Week 10)",Germany,25.38
"Mar 8, 2021 to Mar 14, 2021 (Week 10)",Ireland,1.27
"Mar 8, 2021 to Mar 14, 2021 (Week 10)",Norway,1.09
"Mar 7, 2022 to Mar 13, 2022 (Week 10)",Norway,82.61
"Mar 7, 2022 to Mar 13, 2022 (Week 10)",Australia,158.97
"Mar 7, 2022 to Mar 13, 2022 (Week 10)",Poland,164.67
"Mar 7, 2022 to Mar 13, 2022 (Week 10)",Indonesia,84.44
"Mar 7, 2022 to Mar 13, 2022 (Week 10)",Ireland,107.13
"Mar 7, 2022 to Mar 13, 2022 (Week 10)",Malaysia,66.45
"Mar 7, 2022 to Mar 13, 2022 (Week 10)",Philippines,224.19
"Mar 7, 2022 to Mar 13, 2022 (Week 10)",Germany,458.87
"Mar 7, 2022 to Mar 13, 2022 (Week 10)",United Kingdom,2210.25
"Mar 7, 2022 to Mar 13, 2022 (Week 10)",United States,16665.27
"Mar 7, 2022 to Mar 13, 2022 (Week 10)",Türkiye,173.21
"Mar 7, 2022 to Mar 13, 2022 (Week 10)",France,354.57
"Mar 7, 2022 to Mar 13, 2022 (Week 10)",Spain,277.41
"Mar 7, 2022 to Mar 13, 2022 (Week 10)",Italy,302.64
"Mar 7, 2022 to Mar 13, 2022 (Week 10)",Thailand,32.99
"Mar 7, 2022 to Mar 13, 2022 (Week 10)",Singapore,56.01
"Mar 7, 2022 to Mar 13, 2022 (Week 10)",Switzerland,95.61
"Mar 7, 2022 to Mar 13, 2022 (Week 10)",South Africa,878.32
"Mar 7, 2022 to Mar 13, 2022 (Week 10)",Isle of Man,4.9
"Mar 7, 2022 to Mar 13, 2022 (Week 10)",Japan,56.07
"Mar 7, 2022 to Mar 13, 2022 (Week 10)",Finland,65.36
"Mar 7, 2022 to Mar 13, 2022 (Week 10)",Canada,2180.94
"Mar 7, 2022 to Mar 13, 2022 (Week 10)",Sweden,197.76
"Mar 7, 2022 to Mar 13, 2022 (Week 10)",New Zealand,26.19
"Mar 7, 2022 to Mar 13, 2022 (Week 10)",Vietnam,38.84
"Mar 6, 2023 to Mar 12, 2023 (Week 10)",Sweden,174.6
"Mar 6, 2023 to Mar 12, 2023 (Week 10)",Ireland,78.36
"Mar 6, 2023 to Mar 12, 2023 (Week 10)",Finland,38.69
"Mar 6, 2023 to Mar 12, 2023 (Week 10)",Switzerland,75.52
"Mar 6, 2023 to Mar 12, 2023 (Week 10)",South Africa,400.856646
"Mar 6, 2023 to Mar 12, 2023 (Week 10)",United Kingdom,2068.869674
"Mar 6, 2023 to Mar 12, 2023 (Week 10)",Spain,278.4
"Mar 6, 2023 to Mar 12, 2023 (Week 10)",Belgium,69.66
"Mar 6, 2023 to Mar 12, 2023 (Week 10)",Germany,1543.826504
"Mar 6, 2023 to Mar 12, 2023 (Week 10)",France,307.81
"Mar 6, 2023 to Mar 12, 2023 (Week 10)",Türkiye,114.185882
"Mar 6, 2023 to Mar 12, 2023 (Week 10)",Canada,2947.647885
"Mar 6, 2023 to Mar 12, 2023 (Week 10)",Poland,83.595858
"Mar 6, 2023 to Mar 12, 2023 (Week 10)",Luxembourg,21.68
"Mar 6, 2023 to Mar 12, 2023 (Week 10)",Norway,53.68
"Mar 6, 2023 to Mar 12, 2023 (Week 10)",Italy,692.374782
"Mar 6, 2023 to Mar 12, 2023 (Week 10)",United States,18348.36169
"Mar 4, 2024 to Mar 10, 2024 (Week 10)",United States,45185.69256
"Mar 4, 2024 to Mar 10, 2024 (Week 10)",Canada,5343.720093
"Mar 31, 2025 to Apr 6, 2025 (Week 14)",United Kingdom,3020.249295
"Mar 31, 2025 to Apr 6, 2025 (Week 14)",Finland,29.25
"Mar 31, 2025 to Apr 6, 2025 (Week 14)",Norway,38.6
"Mar 31, 2025 to Apr 6, 2025 (Week 14)",United States,30645.93989
"Mar 31, 2025 to Apr 6, 2025 (Week 14)",Austria,51.419803
"Mar 31, 2025 to Apr 6, 2025 (Week 14)",Spain,139.211189
"Mar 31, 2025 to Apr 6, 2025 (Week 14)",Germany,509.106479
"Mar 31, 2025 to Apr 6, 2025 (Week 14)",Israel,184.338763
"Mar 31, 2025 to Apr 6, 2025 (Week 14)",Denmark,62.127503
"Mar 31, 2025 to Apr 6, 2025 (Week 14)",Sweden,92.225402
"Mar 31, 2025 to Apr 6, 2025 (Week 14)",Portugal,76.76
"Mar 31, 2025 to Apr 6, 2025 (Week 14)",Switzerland,41.08
"Mar 31, 2025 to Apr 6, 2025 (Week 14)",Andorra,12.3
"Mar 31, 2025 to Apr 6, 2025 (Week 14)",Canada,3262.033981
"Mar 31, 2025 to Apr 6, 2025 (Week 14)",Monaco,8.29
"Mar 31, 2025 to Apr 6, 2025 (Week 14)",Netherlands,126.86
"Mar 31, 2025 to Apr 6, 2025 (Week 14)",Ireland,45.42
"Mar 31, 2025 to Apr 6, 2025 (Week 14)",Italy,138.99
"Mar 31, 2025 to Apr 6, 2025 (Week 14)",Belgium,38.709158
"Mar 31, 2025 to Apr 6, 2025 (Week 14)",France,121.38
"Mar 3, 2025 to Mar 9, 2025 (Week 10)",Austria,8.859819
"Mar 3, 2025 to Mar 9, 2025 (Week 10)",Italy,159.382491
"Mar 3, 2025 to Mar 9, 2025 (Week 10)",Denmark,51.09709
"Mar 3, 2025 to Mar 9, 2025 (Week 10)",United States,28762.62078
"Mar 3, 2025 to Mar 9, 2025 (Week 10)",France,132.701508
"Mar 3, 2025 to Mar 9, 2025 (Week 10)",Iceland,2.22
"Mar 3, 2025 to Mar 9, 2025 (Week 10)",Portugal,62.86
"Mar 3, 2025 to Mar 9, 2025 (Week 10)",Germany,474.202683
"Mar 3, 2025 to Mar 9, 2025 (Week 10)",Belgium,60.45221
"Mar 3, 2025 to Mar 9, 2025 (Week 10)",Canada,2953.74322
"Mar 3, 2025 to Mar 9, 2025 (Week 10)",Spain,155.973308
"Mar 3, 2025 to Mar 9, 2025 (Week 10)",Netherlands,69.565875
"Mar 3, 2025 to Mar 9, 2025 (Week 10)",Switzerland,36.56
"Mar 3, 2025 to Mar 9, 2025 (Week 10)",Ireland,20.690895
"Mar 3, 2025 to Mar 9, 2025 (Week 10)",Israel,70.016508
"Mar 3, 2025 to Mar 9, 2025 (Week 10)",Finland,51.047423
