Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: May 2021,Searches: Jun 2021,Searches: Jul 2021,Searches: Aug 2021,Searches: Sep 2021,Searches: Oct 2021,Searches: Nov 2021,Searches: Dec 2021,Searches: Jan 2022,Searches: Feb 2022,Searches: Mar 2022,Searches: Apr 2022,Searches: May 2022,Searches: Jun 2022,Searches: Jul 2022,Searches: Aug 2022,Searches: Sep 2022,Searches: Oct 2022,Searches: Nov 2022,Searches: Dec 2022,Searches: Jan 2023,Searches: Feb 2023,Searches: Mar 2023,Searches: Apr 2023,Searches: May 2023,Searches: Jun 2023,Searches: Jul 2023,Searches: Aug 2023,Searches: Sep 2023,Searches: Oct 2023,Searches: Nov 2023,Searches: Dec 2023,Searches: Jan 2024,Searches: Feb 2024,Searches: Mar 2024,Searches: Apr 2024,Searches: May 2024,Searches: Jun 2024,Searches: Jul 2024,Searches: Aug 2024,Searches: Sep 2024,Searches: Oct 2024,Searches: Nov 2024,Searches: Dec 2024,Searches: Jan 2025,Searches: Feb 2025,Searches: Mar 2025,Searches: Apr 2025
affiliate partner program,USD,90,100%,56%,Low,13,2.70,16.88,4%,,,Y,,70,110,110,110,90,90,90,90,140,90,90,110,70,90,90,70,70,70,90,110,170,140,110,110,90,110,70,90,90,110,70,90,110,90,50,90,70,70,70,90,70,70,210,170,170,70,170,140
multi channel attribution tools,USD,10,0%,0%,Low,13,,,,,,Y,,10,10,10,10,10,10,10,10,10,10,20,10,10,10,10,10,10,20,20,10,10,10,50,20,10,10,10,10,10,10,10,10,10,20,20,20,10,10,10,10,10,10,10,10,30,20,20,20
advertising attribution,USD,320,23%,-18%,Low,24,9.52,33.89,,,,Y,,320,320,260,320,260,390,320,320,320,390,390,390,390,320,390,390,320,390,390,320,390,390,390,390,390,260,210,260,320,320,320,260,320,390,390,390,320,320,320,320,320,390,320,260,390,260,390,320
best referral program,USD,590,23%,-18%,Medium,34,2.43,15.00,35%,,,,,590,590,590,590,590,480,590,590,480,590,590,720,720,720,720,720,590,590,590,480,720,590,590,720,590,590,590,590,720,590,720,720,720,720,590,720,720,590,480,480,390,390,390,480,590,480,590,590
referral system for business,USD,20,0%,100%,Medium,50,11.33,31.79,30%,,,,,10,10,20,30,40,50,30,30,40,30,40,40,30,10,30,50,30,30,10,10,10,10,10,10,20,10,20,10,20,10,10,10,20,20,10,10,10,10,50,30,20,70,10,10,20,20,20,20
business to business referral program,USD,30,400%,67%,Low,7,6.57,34.79,16%,,,,,10,20,30,20,20,10,20,30,30,20,40,20,20,30,10,20,20,10,40,30,20,20,30,30,50,30,20,30,50,70,50,30,20,30,20,30,20,20,20,20,30,30,30,50,40,10,30,50
affiliate marketing impact,USD,20,0%,0%,Low,29,3.36,49.16,70%,,,Y,,10,20,10,20,10,10,10,20,20,20,10,10,10,10,20,20,10,10,10,10,10,20,30,30,30,20,30,20,30,20,20,10,20,20,20,30,20,20,20,20,30,40,30,20,20,30,110,30
referral marketing companies,USD,40,-43%,33%,Low,7,3.62,23.84,13%,,,,,110,140,110,140,90,50,50,30,50,40,50,30,50,50,50,50,40,30,30,50,20,10,20,10,10,10,10,30,10,20,20,10,10,20,20,30,30,30,30,40,40,70,70,40,50,70,50,40
customer referral program software,USD,30,29%,200%,Low,7,12.18,53.96,10%,,,Y,,10,20,20,20,20,20,10,20,10,20,30,20,10,20,20,40,20,10,10,10,10,20,10,30,20,20,10,20,20,30,30,30,30,30,40,30,30,20,20,20,20,20,20,30,40,70,90,90
deferred deep linking,USD,260,22%,50%,Low,9,2.00,5.79,,,,,,260,260,210,260,210,260,170,210,210,260,320,320,260,260,260,320,260,260,260,260,260,260,260,320,320,320,260,320,260,320,260,260,320,260,320,260,320,320,320,260,260,260,210,260,320,320,320,390
impact influencer,USD,110,27%,-18%,Medium,48,1.50,15.00,100%,,,Y,,90,70,90,90,110,110,70,110,90,90,90,90,90,90,110,90,70,90,110,90,110,90,110,110,110,140,170,140,110,140,140,140,210,170,170,170,140,140,170,170,170,140,170,170,170,110,170,140
top referral programs,USD,70,40%,0%,Low,29,4.74,33.67,21%,,,,,40,50,50,70,70,50,70,70,90,90,110,70,70,90,50,50,70,70,70,70,50,40,40,70,50,70,50,50,40,40,70,50,70,50,70,70,90,90,70,50,40,30,20,20,40,50,70,70
multi touch attribution partners,USD,10,-67%,0%,Medium,59,15.00,40.00,,,,,,10,10,10,10,10,20,10,20,10,20,20,10,20,10,10,20,30,20,10,20,20,10,10,10,10,10,10,10,10,20,10,10,30,30,10,10,10,20,10,10,10,20,10,10,20,30,10,10
referral marketing program,USD,140,52%,129%,Low,5,9.49,41.23,7%,,,Y,,110,110,110,110,110,140,110,140,140,140,140,140,140,140,140,170,140,140,170,110,140,140,590,140,170,110,110,90,110,90,90,90,110,140,110,140,110,110,110,140,110,110,140,170,170,210,320,320
refer a friend programs,USD,480,50%,50%,Low,27,5.00,21.04,46%,,,,,390,480,590,390,390,590,590,480,390,390,390,390,390,320,480,390,320,390,390,320,390,320,480,390,390,320,320,480,590,320,210,260,320,320,320,320,320,320,320,320,320,390,1600,1300,480,320,390,480
best b2b affiliate programs,USD,20,50%,50%,Low,25,5.24,15.37,27%,,,Y,,20,10,20,30,20,20,20,20,20,20,20,10,10,20,10,30,20,20,20,20,20,20,40,30,20,30,20,30,20,20,20,30,20,30,30,20,30,30,20,30,40,30,30,30,30,20,40,30
mta attribution,USD,50,40%,0%,Medium,43,11.26,28.66,,,,,,40,50,50,50,40,50,50,40,40,50,50,40,40,30,40,40,40,40,40,40,50,50,50,40,40,50,30,50,50,50,40,40,40,40,50,70,70,50,30,30,30,40,30,40,50,50,50,70
mta model,USD,140,0%,21%,Low,28,8.68,21.21,,,,,,110,110,110,140,140,140,140,110,140,140,170,140,110,140,140,140,140,140,110,110,110,140,170,110,140,170,140,170,110,110,110,110,170,170,140,140,170,110,140,110,140,140,110,110,110,170,170,170
affiliate fraud,USD,110,21%,89%,Low,4,4.61,16.13,,,,Y,,70,70,70,70,70,50,70,70,70,70,90,110,90,90,90,110,70,90,140,110,110,110,170,90,110,140,70,50,140,170,320,140,140,50,110,90,90,50,50,50,70,90,90,140,170,140,170,170
forrester total economic impact study,USD,70,29%,29%,Medium,49,8.99,23.59,,,,,,40,40,40,30,40,50,30,40,90,50,70,50,70,50,70,90,50,50,70,50,50,50,70,50,90,70,70,70,70,40,40,40,70,30,140,70,50,50,70,70,70,50,30,50,70,70,110,90
nielsen multi touch attribution,USD,10,0%,0%,High,71,,,,,,,,20,20,20,30,30,20,20,20,20,20,20,20,20,10,20,10,10,10,10,10,30,20,20,20,10,20,10,10,10,10,10,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
referral program companies,USD,110,-21%,22%,Low,11,4.08,28.08,14%,,,,,140,110,90,90,110,110,90,70,110,110,110,110,110,110,140,140,140,90,140,110,140,110,140,140,140,90,90,140,90,110,140,70,140,90,70,90,90,50,90,70,70,110,110,90,170,140,170,110
mta multi touch attribution,USD,20,33%,100%,Low,33,13.42,24.15,,,,,,20,10,20,10,20,20,20,30,40,30,40,20,30,20,20,20,30,30,20,20,20,10,20,20,20,20,10,20,20,20,20,20,10,10,20,20,30,10,20,20,20,30,20,20,20,30,20,40
referral programs that work,USD,30,25%,25%,Low,16,2.61,20.22,18%,,,,,40,30,40,40,40,30,20,30,50,30,50,30,40,30,30,30,20,30,40,40,40,40,30,30,20,30,20,10,10,10,10,20,20,20,20,40,20,10,30,20,30,20,20,20,20,40,50,50
referral marketing examples,USD,480,22%,22%,Low,14,2.89,11.60,24%,,,,,260,260,260,320,390,390,390,390,480,390,480,390,390,320,320,390,320,390,390,320,590,480,590,590,590,480,590,590,590,590,480,390,590,480,590,590,480,480,480,480,480,390,1000,880,880,590,590,720
the best referral programs,USD,20,100%,0%,Low,32,2.05,9.63,35%,,,,,10,10,20,20,20,20,20,20,20,20,20,20,30,20,20,30,20,10,20,30,10,20,20,20,20,30,10,20,20,30,10,10,20,10,10,20,20,10,10,10,10,10,10,20,10,10,10,20
multi touch attribution reporting,USD,10,0%,0%,Medium,66,18.86,43.67,,,,,,30,10,10,10,10,20,10,10,20,10,10,20,10,10,10,10,10,10,10,10,10,10,10,20,10,10,10,10,10,10,10,10,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
referrals marketing,USD,1600,30%,-55%,Low,16,5.92,27.69,28%,,,,,880,880,880,1000,1000,1000,1000,1000,1000,1000,1300,1000,880,880,1000,1000,1000,1000,1300,1000,1000,1000,1300,1000,1600,1000,1300,1600,2400,3600,2900,2400,1900,2400,2400,2900,3600,2900,2900,4400,1900,880,880,720,1000,1000,1300,1300
impact referral program,USD,30,0%,-60%,Medium,38,10.05,41.42,100%,,,Y,,10,10,10,10,10,10,20,20,10,10,30,10,10,20,10,20,10,20,20,20,30,20,40,30,30,30,40,20,20,30,20,10,30,40,30,50,30,40,20,50,40,260,70,30,40,20,40,20
build a referral program,USD,90,-19%,55%,Low,16,6.80,28.91,24%,,,,,110,70,90,90,90,110,90,90,110,90,90,90,110,70,90,90,70,90,90,90,140,90,90,140,90,90,110,70,90,90,90,90,140,110,140,110,110,110,70,90,70,50,70,70,90,210,210,170
walmart affiliate program requirements,USD,110,0%,-59%,Low,18,0.87,3.28,,,,,,10,20,10,40,110,40,40,50,110,40,50,140,40,50,110,170,20,20,10,30,20,40,50,90,210,320,390,70,70,170,210,110,110,140,210,170,90,260,110,90,140,140,210,50,140,70,50,70
forrester tei calculator,USD,20,0%,-50%,Medium,52,6.44,24.84,,,,,,20,10,10,10,10,10,10,10,20,20,30,20,20,20,20,20,20,10,30,10,10,20,10,10,10,10,10,10,20,10,30,10,20,20,20,20,10,20,20,30,20,20,10,10,10,10,10,10
affiliate marketing affiliate programs,USD,18100,50%,-18%,Low,25,1.22,7.77,4%,,,Y,,6600,6600,6600,6600,6600,6600,6600,6600,12100,9900,9900,9900,9900,14800,14800,18100,14800,14800,14800,18100,27100,18100,22200,33100,33100,40500,49500,40500,33100,33100,27100,27100,40500,27100,22200,22200,22200,22200,22200,18100,18100,18100,12100,14800,22200,12100,14800,18100
impact radius affiliate program,USD,20,150%,400%,Low,19,2.85,22.13,56%,,,Y,,30,40,30,40,40,30,20,30,50,30,40,30,20,20,20,10,10,10,10,20,20,20,10,10,20,20,20,20,10,10,10,20,20,10,10,10,10,10,10,10,10,10,10,10,30,20,90,50
multi touchpoint attribution,USD,10,-50%,0%,High,74,15.00,36.62,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,10,10
easy referral program,USD,30,0%,-50%,Medium,44,1.39,9.10,50%,,,,,20,20,20,40,30,50,50,70,70,70,50,70,50,20,30,30,40,20,20,30,30,20,20,30,30,20,20,20,20,20,20,20,20,20,20,20,10,10,20,10,10,10,10,10,10,10,10,10
referral companies,USD,110,-21%,-35%,Medium,36,3.81,18.23,73%,,,,,70,110,90,110,90,70,70,70,110,140,110,110,110,90,70,90,70,90,90,70,140,110,110,110,110,110,140,110,110,110,140,110,170,140,110,170,170,140,110,110,140,170,140,140,170,140,110,110
multi attribution model,USD,20,-25%,50%,Low,24,12.00,22.63,,,,Y,,20,20,20,20,20,20,30,20,30,30,30,30,30,20,20,10,30,30,40,40,30,20,10,20,10,30,20,10,20,20,20,20,20,20,20,20,20,20,20,10,20,40,20,10,40,40,40,30
website affiliate program,USD,210,24%,24%,Low,24,1.94,10.05,7%,,,Y,,210,210,260,260,260,260,210,260,260,170,140,140,110,140,140,140,110,140,170,140,210,170,210,210,260,210,260,210,210,170,210,260,260,210,210,210,210,210,170,170,140,140,170,170,210,210,260,260
make a pie graph,USD,27100,83%,22%,Low,1,0.84,2.79,,,,,,22200,14800,12100,18100,27100,27100,27100,27100,22200,27100,27100,33100,27100,18100,14800,18100,27100,27100,27100,27100,27100,27100,27100,33100,27100,18100,14800,22200,27100,33100,33100,33100,27100,27100,27100,40500,27100,18100,14800,18100,27100,27100,33100,27100,27100,27100,33100,49500
lead attribution model,USD,20,0%,-33%,Medium,33,7.29,41.08,,,,,,30,20,20,30,10,10,10,20,10,20,30,20,30,30,20,30,20,20,20,30,20,40,20,20,20,20,20,10,30,20,40,20,40,30,30,30,20,20,30,20,10,40,20,10,20,20,30,20
referral program website,USD,50,-64%,0%,Low,16,3.33,16.14,16%,,,,,30,30,50,40,30,30,20,30,40,40,40,30,40,40,40,40,20,40,30,30,40,30,70,40,30,50,50,40,30,30,30,40,50,30,40,50,70,40,50,20,70,70,50,50,110,140,110,50
refer a friend campaign,USD,50,89%,240%,Low,3,8.91,20.68,7%,,,,,50,40,40,50,40,40,50,40,50,50,50,40,50,50,70,50,50,50,40,20,50,40,30,40,50,40,30,40,50,40,30,30,20,20,40,50,40,20,30,30,30,20,20,20,50,90,90,170
business referrals,USD,480,51%,0%,Low,23,4.98,18.53,27%,,,,,480,390,390,390,480,390,390,320,390,480,480,390,390,390,390,480,390,390,480,390,480,480,480,480,480,390,320,390,390,390,390,480,590,480,480,590,480,390,390,480,390,480,480,320,590,390,480,590
b2b affiliate marketing networks,USD,40,25%,25%,Low,20,10.82,27.23,22%,,,,,50,50,50,70,70,40,50,70,70,40,40,20,20,20,20,20,20,20,20,20,30,30,30,50,40,20,20,30,10,20,10,20,40,30,30,40,40,30,30,20,20,30,40,50,70,40,70,50
roi in digital marketing,USD,320,125%,177%,Low,3,4.52,16.70,,,,,,260,170,210,210,260,260,210,260,320,320,390,390,480,390,320,480,390,390,320,320,320,320,320,320,320,210,260,260,320,210,390,210,210,210,260,260,210,170,260,210,390,320,480,480,480,320,590,720
b2b affiliate,USD,170,86%,129%,Low,9,6.61,22.91,11%,,,Y,,140,110,110,140,110,110,110,90,140,110,140,110,140,140,170,140,110,110,170,210,170,140,140,170,140,140,110,140,140,170,210,210,210,210,170,170,170,170,170,170,140,140,140,140,260,210,480,390
affiliate marketing fraud detection,USD,50,57%,120%,Low,9,5.90,23.75,,,,,,40,30,30,30,30,30,20,40,30,40,50,70,70,90,70,70,40,50,70,110,70,70,90,50,50,40,30,30,30,30,40,40,30,20,30,50,20,30,30,30,50,40,20,40,110,70,140,110
online referral programs,USD,50,-36%,29%,Low,17,4.27,25.86,27%,,,,,70,70,70,50,70,70,50,70,90,50,50,50,50,50,50,50,30,30,40,20,30,30,40,50,70,40,50,50,40,30,40,40,70,50,50,70,50,40,50,50,50,30,30,30,70,140,140,90
track referrals,USD,40,-22%,40%,Low,14,8.19,24.74,19%,,,,,30,30,20,30,40,40,40,40,70,40,40,50,40,40,30,50,20,20,40,40,50,50,70,40,50,50,20,30,30,40,30,40,40,40,50,50,40,40,30,30,40,30,50,50,70,90,110,70
loyalty and referral programs,USD,20,33%,100%,Low,18,14.34,47.59,30%,,,,,10,10,10,10,20,30,10,10,20,10,30,10,20,20,10,10,20,20,10,10,30,20,20,20,20,20,10,20,10,10,20,10,20,10,20,20,10,20,10,10,20,30,170,110,50,30,40,40
the affiliate program,USD,20,50%,200%,Low,28,1.70,8.75,,,,,,20,20,30,20,30,10,20,20,30,10,30,20,20,30,20,70,40,40,20,90,40,30,20,30,20,30,20,10,20,20,20,10,20,20,20,10,10,10,10,10,20,30,30,30,30,20,20,30
sales referral program,USD,20,-50%,-67%,Medium,55,4.27,18.64,60%,,,,,20,20,10,20,30,30,30,30,30,30,20,10,10,10,10,20,10,20,20,20,20,20,10,20,10,30,20,20,30,20,20,10,30,20,20,30,20,20,40,20,10,20,10,20,40,20,20,10
best refer a friend programs,USD,50,0%,75%,Low,6,3.19,15.00,,,,,,50,70,50,90,50,70,110,70,70,50,70,70,50,70,50,70,70,50,70,50,50,70,70,50,50,30,50,50,50,50,30,20,40,50,40,40,40,50,50,50,50,90,40,40,50,70,70,70
first touch attribution,USD,140,55%,21%,Low,15,4.80,16.36,,,,,,140,110,70,140,90,110,140,90,140,140,140,140,110,110,140,140,140,140,140,140,140,140,170,140,140,140,110,110,110,140,140,90,90,90,110,140,110,110,110,110,110,140,110,110,140,110,210,170
marketing channel attribution,USD,30,0%,25%,Low,12,15.00,48.43,,,,Y,,30,20,20,40,30,20,10,20,20,30,30,30,40,30,30,30,30,20,20,40,40,40,50,20,30,40,30,20,30,20,30,20,30,30,30,40,30,20,20,10,30,40,30,40,40,50,50,50
forrester roi calculator,USD,20,100%,100%,Low,16,5.30,21.75,,,,,,10,10,10,20,10,10,10,10,30,10,10,10,10,20,20,30,20,20,10,30,30,20,20,20,10,30,10,20,30,20,20,20,20,40,40,10,20,10,10,20,10,20,10,10,10,10,10,20
affiliate brands,USD,140,27%,-18%,Low,22,0.74,6.71,12%,,,Y,,50,50,110,70,70,90,90,110,110,90,70,110,90,110,110,90,90,140,110,110,110,110,170,140,170,170,210,170,140,140,170,210,260,210,170,170,170,260,210,170,210,140,140,210,170,110,210,140
affirm affiliate program,USD,70,-40%,-67%,Low,29,4.73,26.50,,,,,,30,40,40,50,50,70,70,50,70,70,70,90,70,90,70,90,50,50,70,70,90,70,70,70,70,110,90,90,90,70,110,110,70,90,90,90,70,50,110,140,50,70,50,50,70,50,90,30
customer success story template,USD,110,-47%,0%,Low,1,,,,,,,,50,70,70,70,70,70,50,50,110,90,110,110,90,90,70,110,90,90,90,70,140,140,170,140,110,90,110,110,90,110,110,70,170,170,140,170,140,110,110,140,110,140,140,140,210,320,210,170
referral system software,USD,10,50%,200%,Low,10,14.27,28.87,13%,,,,,10,10,10,10,10,10,10,10,20,10,10,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,10,20,20,20,20,20,70,20,40,30
multi touch attribution machine learning,USD,20,0%,200%,Low,13,9.00,18.00,,,,,,20,10,10,20,10,10,10,10,20,10,10,10,10,20,20,30,20,20,20,20,10,10,30,20,20,20,30,20,10,10,10,10,10,20,20,10,10,10,10,10,10,10,10,20,10,30,20,30
agency referral program,USD,30,0%,67%,Low,11,5.52,17.58,18%,,,,,10,20,10,10,10,10,10,10,10,20,20,20,20,20,30,20,20,20,40,20,20,30,30,40,30,40,50,30,40,90,50,10,20,30,30,30,30,30,30,30,30,40,40,50,70,50,50,50
affiliate marketing work,USD,20,-67%,-50%,Low,18,1.89,9.20,,,,,,10,10,10,10,10,10,10,10,20,10,10,10,10,10,20,20,10,10,10,10,30,20,30,20,30,20,40,30,30,20,20,40,30,20,20,20,20,10,10,10,10,10,10,10,20,30,10,10
marketing attribution analysis,USD,40,75%,133%,Low,8,16.44,78.13,,,,Y,,30,10,20,50,50,40,30,30,30,50,50,50,40,70,30,50,50,50,30,40,50,70,70,70,40,40,20,30,20,30,50,40,50,30,70,30,40,50,20,20,30,50,50,40,90,40,70,70
best referral schemes,USD,10,-67%,0%,Low,0,,,,,,,,10,0,0,0,10,10,0,10,10,10,10,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,20,10,10,10,10,10,10,10,0,10,10,0,10,10,10,10,10,10,10,30,30,10
customer referral incentive program,USD,10,0%,300%,Low,4,,,8%,,,,,10,10,10,10,10,10,10,20,30,10,20,20,10,10,10,10,10,10,10,10,10,10,10,10,20,10,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,30,40,30,20,40,70,40
email referral software,USD,10,0%,∞,Medium,33,,,20%,,,,,10,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,10,10,10,10,10,10,0,0,10,10,10,10,10,10,10,0,10,10,10,10
energy affiliate program,USD,30,0%,50%,Low,20,4.36,24.73,,,,,,50,50,50,50,70,50,50,40,50,30,30,30,30,30,20,20,20,20,30,20,20,20,30,30,20,20,30,30,10,20,30,30,20,20,20,20,20,10,20,20,30,30,10,40,40,30,40,30
digital attribution model,USD,70,29%,29%,Low,2,,,,,,,,20,30,30,40,50,40,30,30,40,70,90,140,90,50,50,70,40,50,50,70,90,50,70,90,90,50,50,70,70,70,40,50,70,70,70,70,90,50,40,50,50,50,50,50,50,70,110,90
advertising roi,USD,320,50%,22%,Low,9,4.26,31.31,,,,,,320,260,260,260,320,320,260,260,260,390,390,390,320,320,210,260,320,320,590,320,320,320,320,320,260,210,170,260,320,320,260,260,260,320,260,320,260,210,170,260,260,260,320,320,320,260,480,390
shopify impact,USD,20,-33%,-33%,Low,7,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,20,10,10,10,30,20,10,20,10,20,20,20,20,20,30,20,30,20,20,30,10,20,30,40,40,50,40,40,40,40,30,40,30,20,20
tei study,USD,30,-33%,0%,Low,25,5.54,11.30,,,,,,30,20,20,20,30,30,20,20,30,20,50,10,30,30,50,70,50,40,30,30,30,20,30,20,30,20,20,20,20,20,20,20,30,30,30,20,10,20,30,20,30,30,20,30,40,30,40,20
multi channel attribution models,USD,90,50%,91%,Low,5,7.93,21.48,,,,,,90,70,70,110,90,70,50,70,90,90,110,90,110,70,70,110,90,110,140,110,90,90,140,140,110,70,50,70,70,50,50,50,70,40,90,110,90,90,70,70,90,90,90,90,170,140,260,210
multi touch attribution solutions,USD,30,0%,150%,Low,13,35.85,76.04,,,,Y,,30,10,20,20,10,20,30,30,40,40,30,40,70,50,40,70,40,30,10,20,50,20,20,20,10,20,10,10,20,40,50,20,10,10,10,20,30,20,10,20,20,30,30,40,50,50,50,50
walmart affiliate marketing program,USD,9900,22%,-18%,Low,24,0.86,1.06,,,,Y,,1300,1600,1300,1300,1300,1600,1600,1000,1600,1300,1600,1600,3600,4400,4400,5400,4400,6600,8100,6600,8100,6600,6600,6600,27100,74000,33100,33100,22200,18100,18100,14800,14800,12100,12100,12100,9900,12100,14800,9900,18100,14800,9900,8100,8100,8100,6600,9900
successful referral programs,USD,30,0%,0%,Medium,55,4.80,15.00,100%,,,,,40,40,30,30,30,30,40,30,30,40,50,40,30,30,30,50,30,30,30,30,30,20,40,30,20,30,30,40,20,20,20,30,30,30,20,20,30,40,20,20,20,30,20,20,10,20,30,20
customer success case study,USD,20,0%,100%,Low,25,10.84,22.69,,,,,,20,20,10,20,20,10,30,10,20,30,30,30,20,30,20,20,30,20,20,20,20,10,20,20,20,30,20,20,10,20,10,10,20,20,10,10,10,10,10,20,20,10,10,10,10,20,20,20
best app referral programs,USD,70,100%,0%,Low,13,,,5%,,,,,40,50,70,110,170,260,260,390,320,210,170,90,110,90,70,70,70,50,50,90,140,50,50,30,40,30,30,30,30,30,20,10,20,20,10,20,10,10,20,10,10,30,20,20,10,10,30,20
custom attribution model,USD,30,125%,200%,Low,9,5.07,40.00,,,,Y,,30,10,10,10,10,30,30,40,40,40,40,50,50,30,20,20,20,30,40,30,40,50,40,50,90,50,10,20,20,20,10,30,20,20,40,30,40,40,30,30,40,20,10,20,30,40,90,90
multi touch attribution example,USD,20,-50%,-33%,Low,23,7.43,18.07,,,,,,30,10,20,10,10,10,20,10,10,30,20,10,10,20,30,30,20,10,10,10,10,20,20,20,30,20,30,20,20,10,20,10,30,40,30,30,40,20,10,10,20,30,10,10,10,40,20,20
segment multi touch attribution,USD,10,0%,0%,High,71,,,,,,,,20,10,10,20,20,10,10,10,20,10,20,20,10,10,30,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
multi touch attribution model example,USD,10,-60%,0%,Medium,40,6.71,20.00,,,,,,20,10,10,10,10,10,10,10,10,10,20,10,20,10,10,30,10,10,20,10,10,20,10,20,10,10,10,10,10,20,10,20,10,10,10,20,10,10,10,10,10,20,20,20,20,50,20,20
free referral app,USD,30,50%,0%,Low,23,2.89,12.41,20%,,,,,20,10,20,30,20,20,40,30,50,20,20,30,30,30,50,20,10,20,20,20,20,20,20,20,20,20,30,30,30,40,30,40,30,30,40,30,40,50,70,50,70,20,10,30,40,20,30,30
in app referral program,USD,10,0%,0%,High,75,10.67,36.87,50%,,,,,20,10,20,20,10,10,10,10,20,10,10,20,10,10,10,10,10,10,10,10,20,10,10,10,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
referral marketing app,USD,40,133%,600%,Low,3,3.25,25.97,7%,,,,,10,10,10,10,10,10,10,10,10,10,10,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,880,590,10,10,10,10,10,10,10,20,10,10,30,30,20,20,30,70,70
multi attribution,USD,20,200%,50%,Low,15,8.09,32.98,,,,Y,,10,10,10,10,20,10,10,10,10,10,30,20,20,30,50,50,40,40,10,10,10,10,10,10,10,10,10,10,20,50,50,20,10,10,10,20,10,10,10,10,10,10,10,10,10,10,20,30
walmart partner program,USD,50,0%,-57%,Medium,51,0.92,3.35,,,,,,40,70,50,50,40,50,50,20,20,20,20,20,20,30,40,30,30,40,70,90,50,50,50,70,70,110,90,70,70,70,70,40,40,50,50,70,50,50,90,70,70,50,40,50,50,30,30,30
affiliate network platform,USD,50,-29%,25%,Low,21,6.08,31.25,26%,,,Y,,50,50,50,50,50,50,40,50,50,20,20,20,50,40,50,40,50,70,50,70,70,70,70,50,90,50,70,70,50,40,50,70,50,50,30,40,30,20,20,30,30,70,40,40,50,70,70,50
refer a friend marketing,USD,30,320%,950%,Low,3,6.06,19.12,6%,,,,,40,30,30,40,30,50,20,40,40,50,40,50,30,50,30,50,20,50,40,30,30,20,50,40,20,20,20,20,20,10,20,20,20,40,20,20,20,10,10,20,10,10,30,20,40,50,70,210
referral marketing ideas,USD,140,0%,191%,Low,6,3.14,10.59,4%,,,,,140,170,140,140,140,110,110,110,140,110,140,140,140,110,110,170,110,140,140,110,140,140,170,210,320,140,140,170,170,110,90,90,140,110,110,110,140,90,110,110,110,110,140,110,170,320,320,320
setting up a referral program,USD,20,-60%,0%,Medium,43,11.04,41.26,45%,,,,,10,20,20,20,20,20,30,30,30,30,20,20,10,20,30,20,20,20,30,30,20,20,30,30,30,30,30,20,20,30,20,20,10,30,20,20,20,20,30,20,20,20,20,10,20,50,50,20
manage affiliate program,USD,210,23%,182%,Low,10,8.92,24.75,9%,,,Y,,210,210,210,260,210,170,170,210,210,210,170,260,210,170,260,260,170,140,210,140,140,170,140,170,260,140,140,170,170,260,260,210,170,140,140,170,110,140,210,210,170,390,320,390,390,390,480,480
referral marketing agency,USD,10,0%,-50%,Medium,65,2.92,17.25,20%,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,30,10,20,10,20,20,20,20,20,10,10,20,30,30,30,30,10,10,10
digital marketing referral program,USD,10,0%,100%,Low,9,,,20%,,,,,10,10,10,10,10,10,10,20,20,20,20,10,10,10,10,10,10,10,20,20,10,10,10,10,10,10,10,20,10,30,10,10,10,10,10,10,30,10,10,10,30,40,30,30,40,20,10,20
first click attribution,USD,110,433%,586%,Low,1,6.58,17.17,,,,,,70,70,50,50,50,50,70,70,50,90,90,70,90,70,50,110,70,70,90,70,70,90,110,70,70,70,50,50,70,70,70,50,70,70,90,70,40,30,40,70,260,210,260,390,260,90,480,480
google multi touch attribution,USD,10,0%,0%,Medium,38,12.00,31.81,,,,,,10,10,20,10,10,10,20,10,10,10,20,20,10,20,10,10,20,10,10,10,30,10,10,10,20,10,10,10,10,20,10,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,10
customer success story examples,USD,70,-25%,-40%,Low,1,,,,,,,,70,90,110,90,90,70,50,70,90,90,110,110,90,110,70,70,50,70,40,50,70,90,90,90,50,50,50,70,50,50,50,20,40,40,40,50,30,30,50,40,30,40,40,30,40,40,30,30
